Speaker Analysis Results (sorted by duration)
===========================================

Total speakers found: 932

Speaker Name                                  | Duration (hours)
spk_ar_el_v2_1                                   |           0.00
spk_ar_el_v2_2                                   |           0.00
spk_ar_el_v2_3                                   |           0.00
spk_ar_el_v2_4                                   |           0.00
spk_ar_el_v2_5                                   |           0.00
spk_ar_el_v2_6                                   |           0.00
spk_ar_el_v2_7                                   |           0.00
spk_ar_el_v2_8                                   |           0.00
spk_ar_el_v2_9                                   |           0.00
spk_ar_el_v2_10                                  |           0.00
spk_ar_el_v2_11                                  |           0.00
spk_ar_el_v2_12                                  |           0.00
spk_ar_el_v2_13                                  |           0.00
spk_ar_el_v2_14                                  |           0.00
spk_ar_el_v2_15                                  |           0.00
spk_ar_el_v2_16                                  |           0.00
spk_ar_el_v2_17                                  |           0.00
spk_ar_el_v2_18                                  |           0.00
spk_ar_el_v2_19                                  |           0.00
spk_ar_el_v2_20                                  |           0.00
spk_ar_el_v2_21                                  |           0.00
spk_ar_el_v2_22                                  |           0.00
spk_ar_el_v2_23                                  |           0.00
spk_ar_el_v2_24                                  |           0.00
spk_ar_el_v2_25                                  |           0.00
spk_ar_el_v2_26                                  |           0.00
spk_ar_el_v2_27                                  |           0.00
spk_ar_el_v2_28                                  |           0.00
spk_ar_el_v2_29                                  |           0.00
spk_ar_el_v2_30                                  |           0.00
spk_ar_el_v2_31                                  |           0.00
spk_ar_el_v2_32                                  |           0.00
spk_ar_el_v2_33                                  |           0.00
spk_ar_el_v2_34                                  |           0.00
spk_ar_el_v2_35                                  |           0.00
spk_ar_el_v2_36                                  |           0.00
spk_ar_el_v2_37                                  |           0.00
spk_ar_el_v2_38                                  |           0.00
spk_ar_el_v2_39                                  |           0.00
spk_ar_el_v2_40                                  |           0.00
spk_ar_el_v2_41                                  |           0.00
spk_ar_el_v2_42                                  |           0.00
spk_ar_el_v2_43                                  |           0.00
spk_ar_el_v2_44                                  |           0.00
spk_ar_el_v2_45                                  |           0.00
spk_ar_el_v2_46                                  |           0.00
spk_ar_el_v2_47                                  |           0.00
spk_ar_el_v2_48                                  |           0.00
spk_ar_el_v2_49                                  |           0.00
spk_ar_el_v2_50                                  |           0.00
spk_ar_el_v2_51                                  |           0.00
spk_ar_el_v2_52                                  |           0.00
